Area Type ,Area Name ,Date,Year ,Month,Seasonally Adjusted (Y/N) ,Status (Preliminary / Final) ,LaborForce,Employment ,Unemployment ,UnemploymentRate 
State,California,01-01-1976,1976,January,N,Final,9672362,8668016,1004346,0.104
State,California,01-01-1976,1976,January,Y,Final,9774280,8875685,898595,0.092
County,Los Angeles County,01-01-1976,1976,January,N,Final,3364151,3040058,324093,0.096
County,Los Angeles County,01-01-1976,1976,January,Y,Final,3381856,3081806,300050,0.089
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1976,1976,January,N,Final,3364151,3040058,324093,0.096
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1976,1976,January,Y,Final,3381856,3081806,300050,0.089
State,California,01-01-1977,1977,January,N,Final,10071966,9074522,997444,0.099
State,California,01-01-1977,1977,January,Y,Final,10137699,9204162,933537,0.092
County,Los Angeles County,01-01-1977,1977,January,N,Final,3418933,3107049,311884,0.091
County,Los Angeles County,01-01-1977,1977,January,Y,Final,3425617,3124784,300833,0.088
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1977,1977,January,N,Final,3418933,3107049,311884,0.091
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1977,1977,January,Y,Final,3425617,3124784,300833,0.088
State,California,01-01-1978,1978,January,N,Final,10613102,9737384,875718,0.083
State,California,01-01-1978,1978,January,Y,Final,10673813,9864666,809147,0.076
County,Los Angeles County,01-01-1978,1978,January,N,Final,3498613,3225947,272666,0.078
County,Los Angeles County,01-01-1978,1978,January,Y,Final,3510977,3248508,262469,0.075
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1978,1978,January,N,Final,3498613,3225947,272666,0.078
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1978,1978,January,Y,Final,3510977,3248508,262469,0.075
State,California,01-01-1979,1979,January,N,Final,11098776,10309724,789052,0.071
State,California,01-01-1979,1979,January,Y,Final,11141282,10414825,726457,0.065
County,Los Angeles County,01-01-1979,1979,January,N,Final,3667122,3437637,229485,0.063
County,Los Angeles County,01-01-1979,1979,January,Y,Final,3671974,3452218,219756,0.06
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1979,1979,January,N,Final,3667122,3437637,229485,0.063
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1979,1979,January,Y,Final,3671974,3452218,219756,0.06
State,California,01-01-1980,1980,January,N,Final,11440457,10659639,780818,0.068
State,California,01-01-1980,1980,January,Y,Final,11497843,10787840,710003,0.062
County,Los Angeles County,01-01-1980,1980,January,N,Final,3735539,3516508,219031,0.059
County,Los Angeles County,01-01-1980,1980,January,Y,Final,3746345,3540860,205485,0.055
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1980,1980,January,N,Final,3735539,3516508,219031,0.059
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1980,1980,January,Y,Final,3746345,3540860,205485,0.055
State,California,01-01-1981,1981,January,N,Final,11677011,10754370,922641,0.079
State,California,01-01-1981,1981,January,Y,Final,11723969,10894361,829608,0.071
County,Los Angeles County,01-01-1981,1981,January,N,Final,3753219,3479740,273479,0.073
County,Los Angeles County,01-01-1981,1981,January,Y,Final,3762857,3502985,259872,0.069
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1981,1981,January,N,Final,3753219,3479740,273479,0.073
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1981,1981,January,Y,Final,3762857,3502985,259872,0.069
State,California,01-01-1982,1982,January,N,Final,11903657,10775309,1128348,0.095
State,California,01-01-1982,1982,January,Y,Final,11977339,10920493,1056846,0.088
County,Los Angeles County,01-01-1982,1982,January,N,Final,3760766,3440127,320639,0.085
County,Los Angeles County,01-01-1982,1982,January,Y,Final,3788474,3479677,308797,0.082
